kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
三間ビラキ				さんげんびらき		n	(go terminology)
三劫	三コウ			さんこう		n	(go terminology)
参考図				さんこうず		n	reference diagram
三々				さんさん		n	(go terminology)
三々打ち込み				さんさんうちこみ		n	(go terminology)
三々のシマリ				さんさんのしまり		n	(go terminology)
三子				さんし		n	three stones
三段				さんだん		n	3 dan
三羽ガラス				さんばがらす		n	(go terminology)
三目中手	三目ナカデ			さんもくなかで		n	(go terminology)
残留				ざんりゅう		n	remaining in a league
三連星				さんれんせい		n	(go terminology)
子				し		n	(go terminology)
死				し		n	(go terminology)
地				じ		n	(go terminology)
地合	地あい			じあい		n	(go terminology)
死活				しかつ		n	(go terminology)
持碁	ジゴ			じご		n	(go terminology)
下				した		n	(go terminology)
下ツケ				したつけ		n	(go terminology)
下手	した手			したて		n	(go terminology)
下ハネ				したはね		n	(go terminology)
下バネ				したばね		n	(go terminology)
シチョウ	シチョー			しちょう		n	(go terminology)
シチョウアタリ				しちょうあたり		n	(go terminology)
失着				しっちゃく		n	(go terminology)
失敗				しっぱい		n	(go terminology)
実利				じつり		n	(go terminology)
指導碁				しどうご		n	(go terminology)
死に石				しにいし		n	(go terminology)
死に形				しにがたち		n	(go terminology)
死ぬ				しぬ		n	(go terminology)
凌ぎ	シノギ			しのぎ		n	(go terminology)
絞り	シボリ			しぼり		n	(go terminology)
絞る	シボる			しぼる		v	(go terminology)
締まり	シマリ			しまり		n	(go terminology)
シメツケ				しめつけ		n	(go terminology)
地模様	地モヨウ			じもよう		n	(go terminology)
弱点				じゃくてん		n	(go terminology)
週刊碁				しゅうかんご		n	Go Weekly, weekly publication from Nihon Ki-in
十九路				じゅうきゅうろ		n	19x19
終局				しゅうきょく		n	(go terminology)
秀策流				しゅうさくりゅう		n	(go terminology)
十三路				じゅうさんろ		n	13x13
十子				じゅうし		n	ten stones
十段				じゅうだん		n	the Judan title
終盤				しゅうばん		n	(go terminology)
十番碁				じゅうばんご		n	(go terminology)
終盤戦				しゅうばんせん		n	(go terminology)
十分				じゅうぶん		n	(go terminology)
準決勝				じゅんけっしょう		n	semifinal
準々決勝				じゅんじゅんけっしょう		n	quarterfinal
消去				しょうきょ		n	(go terminology)
状況				じょうきょう		n	(go terminology)
上手				じょうず		n	(go terminology)
定石				じょうせき		n	(go terminology)
定先				じょうせん		n	(go terminology)
勝負				しょうぶ		n	(go terminology)
勝負手				しょうぶて		n	all-or-nothing move
上辺				じょうへん		n	(go terminology)
初級				しょきゅう		n	(go terminology)
初段				しょだん		n	shodan, 1 dan
序盤				じょばん		n	(go terminology)
序盤戦				じょばんせん		n	(go terminology)
白				しろ		n	(go terminology)
白い				しろい		adj-i	(go terminology)
白番				しろばん		n	(go terminology)
陣笠				じんがさ		n	(go terminology)
新手				しんて		n	new move
新布石				しんふせき		n	(go terminology)
